Название карт;Ссылка на продукт;Банк;Изображение карты
Дебетовая карта «Райфкарта»;https://minfin.com.ua/company/aval/;Райффайзен Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062ec5587a38.png
Дебетовая карта «Универсальная»;https://minfin.com.ua/company/bis/;Банк инвестиций и сбережений;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062223d1b606.png
Пакет услуг «White»;https://minfin.com.ua/company/alfa-bank/;Альфа-Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8adafa4a3e.png
Дебетовая карта «Сберегательная карта»;https://minfin.com.ua/company/agroprosperis-bank/;Агропросперис Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8adda8352d.png
Пакет услуг «всеКАРТА»;https://minfin.com.ua/company/pumb/;ПУМБ;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60a4b03991218.png
Дебетовая карта «Плативка»;https://minfin.com.ua/company/taskombank/;Таскомбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8bc1500fd7.png
Дебетовая карта «Желтая»;https://minfin.com.ua/company/a-bank/;А-Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8b58075c9e.png
Дебетовая карта «Детская карта»;https://minfin.com.ua/company/monobank/;monobank;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60891c89da993.png
Универсальная карта World;https://minfin.com.ua/company/rwsbank/;РВС Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62149301af8e6.png
Дебетовая карта «Ощадна»;https://minfin.com.ua/company/globus/;Глобус;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60c89d4b26417.png
Дебетовая карта «Карта для выплат»;https://minfin.com.ua/company/privatbank/;Приватбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062232a7d080.png
Дебетовая карта «Коко Кард»;https://minfin.com.ua/company/forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60891abcef9f6.png
Дебетовая карта «Детская карта»;https://minfin.com.ua/company/oschadbank/;Ощадбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062ead615f3f.png
Пакет услуг «Личный»;https://minfin.com.ua/company/megabank/;Мегабанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062ec8fb95e6.png
Пакет услуг «Smart»;https://minfin.com.ua/company/credit-agricole/;Креди Агриколь Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60621fdc4c25d.png
Дебетовая карта «PRO-Запас+»;https://minfin.com.ua/company/ukrgasbank/;Укргазбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60a4b040414e6.png
Дебетовая карта «Vodafone Bonus Card»;https://minfin.com.ua/company/otp-bank/;OTP Bank;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6203b4b519648.png
Дебетовая карта «New Card»;https://minfin.com.ua/company/ukrsibbank/;Укрсиббанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60891be10d408.png
Дебетовая карта «Детская карта CIB Junior»;https://minfin.com.ua/company/cib/;Коммерческий Индустриальный Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60ade30179c4c.png
Дебетовая карта Neocard;https://minfin.com.ua/company/neobank/;Neobank;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/619bab9f2a21e.png
